ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
6770,1344.0,165,360,1,Male,No,1,Graduate,No,Urban,Y
6674,2856.0,164,360,1,Male,Yes,0,Not Graduate,No,Rural,Y
3438,1620.0,174,180,1,Male,Yes,1,Graduate,No,Semiurban,Y
5055,0.0,252,240,1,Male,No,0,Graduate,No,Urban,Y
5617,2217.0,106,240,1,Female,Yes,1,Graduate,Yes,Urban,Y
7073,1598.0,101,240,1,Female,Yes,0,Graduate,No,Semiurban,Y
6664,1599.0,193,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
5820,2688.0,124,240,1,Female,No,2,Not Graduate,No,Semiurban,Y
2900,3552.0,94,360,1,Male,No,1,Graduate,No,Urban,Y
5935,3876.0,273,240,1,Male,No,0,Graduate,No,Semiurban,Y
6149,4332.0,170,360,1,Male,Yes,1,Not Graduate,No,Rural,Y
15575,1817.0,287,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
5547,2686.0,202,360,0,Male,Yes,0,Not Graduate,No,Semiurban,N
6785,1547.0,141,180,1,Male,Yes,0,Graduate,No,Rural,Y
9503,0.0,158,360,1,Male,Yes,0,Graduate,No,Urban,Y
8139,1587.0,223,240,0,Male,Yes,0,Graduate,Yes,Rural,N
10513,3658.0,93,360,1,Male,Yes,2,Graduate,No,Rural,Y
3455,0.0,228,360,1,Male,No,3+,Graduate,No,Semiurban,Y
4031,0.0,154,180,0,Male,No,0,Graduate,No,Semiurban,N
4767,2510.0,146,360,1,Female,Yes,2,Graduate,No,Rural,Y
3277,4281.0,341,360,0,Male,No,0,Graduate,No,Semiurban,N
6170,1943.0,253,180,0,Male,Yes,0,Graduate,No,Rural,N
4144,3440.0,117,180,1,Male,No,0,Graduate,No,Urban,Y
11124,2210.0,176,360,1,Female,Yes,1,Graduate,No,Urban,Y
4371,6194.0,111,180,1,Male,Yes,1,Graduate,No,Semiurban,Y
5261,0.0,187,360,0,Male,Yes,1,Graduate,No,Urban,N
8341,3622.0,314,360,0,Male,Yes,1,Graduate,No,Semiurban,Y
3679,2057.0,272,360,1,Female,Yes,3+,Graduate,No,Semiurban,Y
3213,0.0,184,360,1,Male,No,2,Not Graduate,No,Semiurban,Y
6469,1592.0,177,360,1,Female,Yes,3+,Graduate,No,Semiurban,Y
6670,0.0,150,360,1,Female,Yes,1,Graduate,No,Urban,Y
8236,4051.0,324,360,1,Male,Yes,0,Graduate,No,Urban,Y
7419,2330.0,214,360,1,Female,Yes,1,Not Graduate,No,Semiurban,Y
6772,2499.0,135,360,1,Male,Yes,0,Graduate,No,Urban,Y
4554,1735.0,164,360,1,Female,Yes,0,Graduate,No,Urban,Y
6596,2132.0,167,360,1,Female,No,0,Not Graduate,No,Semiurban,Y
6761,2327.0,119,360,0,Female,No,2,Graduate,No,Semiurban,Y
4492,0.0,168,360,1,Male,No,1,Graduate,Yes,Urban,Y
12531,7748.0,193,360,1,Male,Yes,1,Graduate,No,Rural,Y
7276,2114.0,113,360,1,Male,No,1,Graduate,No,Rural,Y
4056,0.0,232,240,1,Male,No,0,Not Graduate,Yes,Semiurban,Y
8254,0.0,125,360,1,Male,Yes,0,Graduate,No,Rural,Y
8854,0.0,136,360,1,Female,Yes,0,Graduate,No,Rural,Y
7098,0.0,124,360,1,Female,Yes,1,Graduate,No,Rural,Y
5428,1353.0,117,360,1,Female,Yes,0,Graduate,No,Urban,Y
4423,2187.0,248,360,1,Male,Yes,2,Graduate,No,Urban,Y
5814,0.0,266,180,1,Female,Yes,0,Graduate,No,Semiurban,Y
6895,0.0,129,360,1,Male,No,0,Not Graduate,No,Urban,Y
6031,0.0,237,360,1,Female,Yes,0,Graduate,No,Urban,Y
10721,2093.0,96,360,1,Female,Yes,1,Graduate,Yes,Semiurban,Y
7736,8473.0,143,360,1,Male,Yes,1,Graduate,No,Urban,Y
4246,2470.0,104,360,1,Female,Yes,2,Graduate,No,Semiurban,Y
3908,2885.0,335,360,1,Female,Yes,1,Not Graduate,No,Urban,Y
7302,1331.0,251,180,1,Male,No,0,Graduate,No,Semiurban,Y
5477,3964.0,90,180,1,Female,No,0,Graduate,Yes,Urban,Y
8016,3865.0,119,240,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
7274,0.0,144,360,1,Male,Yes,0,Graduate,No,Rural,Y
5824,2710.0,155,360,1,Male,Yes,0,Graduate,No,Rural,Y
4263,2155.0,101,360,1,Female,Yes,1,Not Graduate,Yes,Semiurban,Y
3318,0.0,207,180,1,Male,Yes,0,Not Graduate,No,Rural,Y
6547,0.0,237,360,1,Female,Yes,2,Graduate,No,Urban,Y
3658,6844.0,179,360,1,Female,No,0,Not Graduate,No,Urban,Y
4202,0.0,175,360,1,Female,Yes,1,Graduate,No,Urban,Y
6388,0.0,124,360,1,Female,No,2,Graduate,No,Rural,Y
6144,0.0,142,180,1,Female,Yes,0,Graduate,No,Rural,Y
3802,1991.0,172,360,1,Male,Yes,2,Graduate,No,Semiurban,Y
9282,3377.0,178,360,1,Male,No,0,Graduate,No,Urban,Y
9176,4668.0,159,180,1,Female,Yes,2,Graduate,No,Urban,Y
7398,1640.0,228,180,0,Male,Yes,1,Graduate,Yes,Semiurban,N
7395,2105.0,192,240,1,Female,Yes,1,Graduate,Yes,Urban,Y
7398,0.0,238,360,0,Female,Yes,0,Graduate,No,Urban,Y
8821,1905.0,166,360,1,Male,No,2,Graduate,No,Semiurban,Y
7817,4014.0,165,360,1,Male,Yes,0,Graduate,No,Urban,Y
4389,0.0,220,360,1,Female,Yes,0,Graduate,No,Rural,Y
5447,2203.0,113,180,1,Female,No,2,Graduate,No,Urban,Y
14770,0.0,419,360,1,Male,Yes,2,Graduate,No,Rural,Y
2947,2779.0,124,360,1,Male,No,2,Graduate,No,Semiurban,Y
4951,3866.0,120,360,1,Male,No,1,Graduate,No,Urban,Y
9304,1860.0,233,240,1,Female,Yes,0,Graduate,No,Rural,Y
4491,3149.0,197,360,1,Female,Yes,1,Graduate,No,Semiurban,Y
7906,0.0,208,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
6112,1596.0,167,120,0,Male,Yes,0,Not Graduate,No,Urban,Y
4606,0.0,115,360,1,Male,No,1,Graduate,No,Urban,Y
2807,1125.0,291,180,1,Male,Yes,2,Graduate,No,Semiurban,Y
6474,2766.0,229,180,1,Female,Yes,2,Graduate,No,Semiurban,Y
4355,1426.0,130,240,1,Male,Yes,0,Graduate,No,Semiurban,Y
5725,2040.0,221,360,1,Female,No,0,Graduate,Yes,Rural,Y
7368,0.0,133,120,0,Male,Yes,0,Graduate,No,Urban,Y
8517,0.0,140,360,1,Female,No,1,Graduate,No,Urban,Y
4945,2063.0,144,360,1,Female,No,0,Not Graduate,No,Rural,Y
4603,0.0,126,360,1,Female,Yes,1,Graduate,No,Urban,Y
3638,2197.0,166,360,0,Male,No,1,Not Graduate,No,Urban,N
8695,0.0,229,120,1,Male,No,2,Graduate,No,Semiurban,Y
13775,0.0,189,180,1,Female,Yes,2,Graduate,No,Semiurban,Y
9099,2658.0,207,360,0,Female,Yes,0,Not Graduate,No,Semiurban,N
9974,0.0,176,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
4504,0.0,83,360,1,Male,Yes,0,Graduate,No,Rural,Y
7188,0.0,366,360,1,Female,No,1,Not Graduate,No,Urban,Y
8213,1756.0,245,360,1,Female,Yes,1,Graduate,No,Semiurban,Y
2154,2762.0,180,360,1,Male,Yes,0,Graduate,No,Urban,Y
3978,1807.0,110,180,1,Female,Yes,0,Graduate,No,Rural,Y
11478,0.0,204,360,1,Female,Yes,0,Graduate,No,Urban,Y
3420,3549.0,161,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
10670,2064.0,173,360,0,Male,Yes,1,Not Graduate,Yes,Semiurban,N
3413,0.0,228,360,1,Female,Yes,0,Not Graduate,No,Semiurban,N
4045,7490.0,186,180,1,Female,No,2,Graduate,No,Urban,Y
7242,1801.0,265,180,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
6173,0.0,138,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
5128,1924.0,95,360,1,Female,No,1,Graduate,No,Semiurban,Y
11278,2176.0,159,360,1,Female,Yes,0,Not Graduate,No,Semiurban,Y
3669,1348.0,139,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
5639,4552.0,194,180,1,Female,Yes,0,Graduate,No,Rural,Y
7621,0.0,120,360,1,Male,No,0,Graduate,No,Urban,Y
6728,3918.0,138,360,1,Male,Yes,1,Graduate,No,Rural,Y
4660,2458.0,197,240,1,Female,No,0,Graduate,No,Rural,Y
4723,0.0,148,360,1,Male,No,0,Graduate,No,Semiurban,Y
8462,0.0,234,180,1,Male,No,1,Graduate,No,Rural,Y
8632,2600.0,121,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
6800,0.0,108,360,1,Male,No,1,Graduate,No,Urban,Y
4293,1875.0,205,360,1,Male,No,3+,Not Graduate,No,Semiurban,Y
4778,3423.0,102,180,1,Male,No,0,Not Graduate,Yes,Rural,Y
5949,3635.0,87,180,1,Female,Yes,1,Graduate,No,Urban,Y
6294,1445.0,107,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
7495,0.0,242,360,1,Male,Yes,1,Not Graduate,No,Urban,Y
5524,3724.0,131,180,1,Female,Yes,0,Graduate,No,Semiurban,Y
8381,1452.0,141,480,1,Male,No,2,Graduate,No,Urban,Y
8341,2017.0,211,180,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
10125,0.0,228,360,1,Female,No,0,Not Graduate,No,Rural,Y
6051,0.0,213,240,1,Male,Yes,1,Graduate,No,Urban,Y
6847,0.0,205,360,0,Female,Yes,1,Graduate,No,Urban,N
5689,1846.0,128,360,0,Female,Yes,0,Graduate,No,Semiurban,Y
4311,0.0,168,360,1,Female,Yes,0,Not Graduate,No,Rural,Y
13625,1453.0,102,120,0,Male,Yes,1,Graduate,Yes,Urban,Y
9560,3073.0,143,240,1,Male,Yes,0,Graduate,No,Semiurban,Y
8269,1753.0,91,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
5970,2339.0,235,360,0,Male,No,1,Graduate,No,Urban,N
4180,0.0,141,360,1,Male,No,0,Not Graduate,No,Urban,Y
8895,1867.0,166,180,1,Male,No,1,Not Graduate,No,Rural,Y
5650,1421.0,134,360,1,Male,No,0,Graduate,No,Rural,Y
7099,6123.0,246,240,1,Male,No,0,Graduate,No,Urban,Y
4771,2945.0,100,360,0,Male,Yes,1,Not Graduate,No,Semiurban,N
6630,3576.0,110,180,1,Female,No,0,Not Graduate,No,Semiurban,Y
4882,0.0,165,360,1,Female,Yes,1,Not Graduate,Yes,Urban,Y
4953,0.0,168,360,1,Male,Yes,0,Graduate,No,Rural,Y
6595,3838.0,236,360,1,Male,Yes,0,Graduate,No,Urban,Y
3398,0.0,177,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
3448,0.0,167,360,1,Female,Yes,2,Graduate,No,Urban,Y
4485,2490.0,124,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
5499,1550.0,247,360,1,Male,No,0,Graduate,No,Semiurban,Y
8490,0.0,151,360,0,Male,Yes,2,Not Graduate,No,Semiurban,N
5620,3788.0,127,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
5954,3874.0,121,180,1,Male,No,1,Graduate,No,Urban,Y
5333,4760.0,167,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
6843,2517.0,98,360,1,Female,No,2,Graduate,No,Rural,Y
4296,1837.0,101,180,1,Female,Yes,1,Graduate,No,Semiurban,Y
5739,2517.0,100,180,1,Male,Yes,0,Graduate,No,Semiurban,Y
7066,1878.0,300,360,1,Male,No,0,Graduate,No,Semiurban,Y
6574,1588.0,269,360,1,Male,Yes,0,Graduate,No,Rural,Y
6030,0.0,117,180,1,Female,No,2,Graduate,No,Rural,Y
6060,2705.0,179,360,0,Female,Yes,1,Graduate,No,Semiurban,Y
7348,1609.0,208,360,1,Female,No,1,Graduate,Yes,Urban,Y
13931,4939.0,188,360,1,Male,No,0,Graduate,No,Urban,Y
4399,1235.0,107,360,1,Male,No,3+,Not Graduate,No,Rural,Y
14118,1894.0,123,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
4328,0.0,178,360,1,Female,No,0,Not Graduate,No,Rural,Y
2727,3372.0,100,360,1,Male,No,2,Graduate,No,Semiurban,Y
4845,0.0,240,360,1,Female,No,1,Graduate,No,Urban,Y
6896,0.0,106,360,1,Male,Yes,0,Not Graduate,Yes,Urban,Y
12580,1503.0,171,360,0,Female,Yes,0,Not Graduate,No,Rural,N
4178,1902.0,220,180,1,Female,No,3+,Graduate,No,Urban,Y
7329,0.0,230,360,0,Male,Yes,1,Graduate,No,Urban,Y
3559,4542.0,231,360,1,Male,Yes,0,Graduate,No,Rural,Y
12372,3274.0,125,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
9640,0.0,130,360,1,Male,Yes,0,Not Graduate,Yes,Urban,Y
4957,4557.0,183,240,1,Male,Yes,1,Graduate,No,Semiurban,Y
10317,0.0,205,360,0,Male,Yes,0,Graduate,No,Semiurban,Y
5725,2746.0,202,360,1,Female,Yes,3+,Graduate,No,Semiurban,Y
9862,0.0,211,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
6012,4127.0,192,360,1,Male,No,0,Not Graduate,Yes,Semiurban,Y
6116,5613.0,179,240,1,Male,Yes,0,Graduate,No,Urban,Y
4995,1675.0,128,360,1,Male,Yes,2,Graduate,No,Urban,Y
7727,2388.0,181,180,1,Male,No,2,Graduate,No,Urban,Y
6301,0.0,286,360,1,Female,No,0,Graduate,No,Semiurban,Y
7397,2453.0,145,360,1,Male,Yes,0,Graduate,No,Urban,Y
3296,0.0,140,240,1,Male,Yes,0,Graduate,Yes,Semiurban,Y
10016,2063.0,199,360,1,Male,No,0,Graduate,No,Urban,Y
11129,0.0,106,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
6290,2374.0,170,360,1,Male,No,2,Not Graduate,Yes,Urban,Y
13468,3110.0,236,360,0,Female,Yes,2,Graduate,No,Rural,N
12024,1559.0,171,180,1,Male,No,0,Graduate,No,Semiurban,Y
7798,0.0,170,360,0,Female,Yes,0,Graduate,No,Urban,Y
10376,0.0,81,360,1,Male,Yes,3+,Graduate,No,Urban,Y
9193,0.0,146,180,1,Female,Yes,0,Not Graduate,No,Urban,Y
3053,5181.0,115,360,1,Female,No,0,Graduate,No,Rural,Y
5375,0.0,104,240,1,Male,Yes,0,Graduate,No,Semiurban,Y
8027,1367.0,155,360,1,Female,No,0,Graduate,No,Semiurban,Y
11462,2967.0,205,180,0,Female,Yes,1,Not Graduate,Yes,Semiurban,N
3482,2995.0,151,360,1,Male,No,0,Graduate,No,Semiurban,Y
3110,1200.0,222,180,1,Male,Yes,0,Graduate,No,Rural,Y
5865,5008.0,204,360,0,Female,Yes,2,Graduate,No,Rural,Y
2772,1904.0,131,360,0,Male,No,3+,Not Graduate,No,Rural,N
5785,0.0,137,360,1,Male,Yes,0,Graduate,Yes,Rural,Y
6966,1559.0,87,360,1,Male,No,2,Graduate,No,Urban,Y
4111,2663.0,326,360,1,Female,Yes,2,Graduate,No,Semiurban,Y
5848,2564.0,117,360,1,Female,Yes,0,Graduate,No,Urban,Y
8825,3655.0,172,480,1,Male,Yes,0,Graduate,No,Rural,Y
4836,1426.0,154,360,1,Female,No,1,Not Graduate,No,Semiurban,Y
4355,0.0,280,180,0,Male,Yes,2,Graduate,No,Urban,N
5743,1967.0,181,360,1,Female,Yes,2,Graduate,Yes,Urban,Y
3962,5196.0,161,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
13000,1431.0,253,360,1,Female,No,0,Graduate,No,Semiurban,Y
6087,0.0,172,360,1,Male,Yes,1,Not Graduate,No,Urban,Y
4519,0.0,121,360,1,Male,Yes,0,Graduate,No,Urban,Y
6547,7005.0,195,180,1,Female,No,2,Graduate,No,Semiurban,Y
5731,6076.0,102,120,1,Male,No,1,Graduate,No,Urban,Y
5482,0.0,115,360,0,Male,Yes,0,Graduate,No,Rural,N
4836,0.0,139,360,1,Male,No,0,Graduate,Yes,Semiurban,Y
4748,1508.0,108,360,1,Female,Yes,2,Not Graduate,No,Urban,Y
3318,1299.0,144,360,1,Female,No,0,Graduate,Yes,Semiurban,Y
10369,0.0,74,360,0,Female,Yes,2,Graduate,No,Semiurban,N
7584,3373.0,171,120,1,Female,Yes,0,Not Graduate,No,Rural,Y
6811,0.0,191,180,1,Female,No,2,Graduate,No,Semiurban,Y
5694,3096.0,133,120,1,Male,No,2,Graduate,No,Urban,Y
4086,2534.0,92,360,1,Male,Yes,2,Graduate,No,Semiurban,Y
4418,1405.0,160,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
3429,0.0,203,360,1,Male,Yes,0,Graduate,No,Urban,Y
4616,2870.0,100,360,0,Female,No,0,Graduate,No,Urban,N
3892,0.0,418,180,0,Female,No,1,Graduate,No,Semiurban,N
11719,3950.0,173,240,1,Male,No,1,Graduate,No,Urban,Y
8571,3372.0,207,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
6192,2141.0,373,360,1,Female,Yes,0,Not Graduate,No,Urban,Y
4239,1721.0,186,360,1,Female,Yes,0,Graduate,No,Urban,Y
3959,2201.0,120,360,1,Male,No,1,Graduate,No,Urban,Y
5551,1676.0,128,360,1,Male,Yes,2,Graduate,No,Semiurban,Y
8724,5069.0,232,360,1,Male,Yes,2,Graduate,Yes,Semiurban,Y
3459,0.0,216,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
7543,3602.0,233,240,1,Male,Yes,1,Graduate,No,Urban,Y
4608,1620.0,199,180,1,Male,Yes,0,Graduate,No,Urban,Y
4921,0.0,188,360,1,Female,Yes,2,Graduate,No,Rural,Y
6120,2530.0,77,360,0,Male,Yes,0,Graduate,No,Semiurban,N
4290,1831.0,210,360,0,Male,Yes,0,Graduate,No,Rural,N
5442,1509.0,184,360,1,Female,No,0,Graduate,No,Rural,Y
4163,1891.0,111,360,1,Female,Yes,1,Graduate,No,Semiurban,Y
4747,1493.0,128,180,1,Female,Yes,1,Graduate,No,Urban,Y
8150,2693.0,221,360,1,Female,Yes,0,Graduate,No,Rural,Y
6248,0.0,376,360,1,Male,Yes,1,Graduate,Yes,Semiurban,Y
8137,2908.0,237,360,1,Male,Yes,0,Graduate,No,Urban,Y
4586,0.0,290,360,1,Male,No,2,Graduate,No,Semiurban,N
7566,0.0,97,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
3191,1611.0,243,360,1,Female,Yes,1,Graduate,Yes,Semiurban,Y
6118,2914.0,213,360,0,Male,Yes,2,Graduate,No,Semiurban,N
7776,4385.0,180,360,0,Male,Yes,0,Not Graduate,No,Rural,Y
3154,3246.0,136,120,0,Female,Yes,0,Graduate,No,Urban,Y
4606,0.0,191,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
6117,3700.0,225,360,1,Male,No,2,Graduate,No,Urban,Y
9005,2705.0,165,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
4746,1710.0,126,360,1,Male,Yes,0,Graduate,No,Urban,Y
7443,0.0,272,360,1,Male,Yes,1,Graduate,No,Urban,Y
10672,0.0,147,360,1,Male,Yes,1,Graduate,No,Urban,Y
7586,0.0,183,360,1,Male,Yes,2,Graduate,No,Rural,Y
5522,2564.0,83,360,0,Male,Yes,2,Not Graduate,Yes,Semiurban,N
6979,0.0,122,360,1,Male,Yes,3+,Graduate,No,Urban,Y
4695,4606.0,245,360,1,Male,Yes,0,Graduate,No,Urban,Y
6215,0.0,237,120,1,Male,Yes,0,Graduate,Yes,Rural,Y
5630,1626.0,190,360,1,Female,Yes,2,Graduate,No,Urban,Y
6885,2616.0,87,480,1,Female,Yes,3+,Graduate,No,Rural,Y
5073,0.0,128,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
7046,1697.0,322,360,1,Male,Yes,0,Graduate,No,Urban,Y
5054,1800.0,166,240,1,Male,Yes,0,Graduate,No,Semiurban,Y
8535,0.0,222,360,0,Male,Yes,2,Graduate,No,Urban,N
5253,0.0,126,360,1,Male,Yes,2,Graduate,No,Urban,Y
2796,2267.0,164,360,1,Female,Yes,0,Graduate,Yes,Urban,Y
4003,1897.0,127,360,1,Female,No,0,Graduate,No,Rural,Y
6045,0.0,142,120,0,Female,Yes,0,Graduate,No,Semiurban,N
11671,0.0,120,360,1,Female,No,0,Not Graduate,No,Urban,Y
8394,1518.0,151,120,1,Female,Yes,0,Not Graduate,No,Urban,Y
2660,0.0,154,360,1,Female,Yes,0,Graduate,No,Urban,Y
3361,1802.0,211,360,1,Female,Yes,0,Graduate,No,Rural,Y
9506,2820.0,91,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
7758,0.0,105,360,0,Male,Yes,0,Graduate,No,Semiurban,Y
14538,0.0,164,360,1,Male,No,2,Graduate,No,Rural,Y
4977,0.0,109,360,1,Female,No,1,Graduate,No,Semiurban,Y
4258,2028.0,113,360,1,Male,Yes,2,Graduate,No,Rural,Y
6177,0.0,287,180,1,Male,Yes,1,Graduate,Yes,Urban,Y
4940,3485.0,206,180,1,Male,No,1,Not Graduate,No,Rural,Y
9117,0.0,152,360,1,Female,Yes,0,Graduate,No,Rural,Y
4876,0.0,124,180,1,Female,Yes,0,Graduate,No,Semiurban,Y
5374,0.0,296,240,0,Male,No,3+,Graduate,No,Semiurban,N
4049,2582.0,99,360,1,Male,No,0,Graduate,No,Semiurban,Y
8155,0.0,232,360,1,Female,Yes,0,Not Graduate,No,Semiurban,Y
4139,0.0,304,360,1,Male,Yes,0,Not Graduate,No,Urban,Y
7100,1345.0,165,180,1,Male,Yes,2,Graduate,No,Urban,Y
12583,1957.0,187,360,1,Female,No,0,Graduate,No,Semiurban,Y
3033,1975.0,191,360,1,Female,No,0,Graduate,No,Semiurban,Y
10897,3640.0,210,360,1,Male,Yes,1,Graduate,No,Urban,Y
6725,0.0,178,360,0,Male,Yes,3+,Not Graduate,No,Urban,N
3827,0.0,185,360,1,Male,Yes,0,Graduate,No,Rural,Y
6273,2798.0,123,360,1,Female,Yes,0,Graduate,Yes,Semiurban,Y
8054,1598.0,86,360,1,Male,Yes,3+,Graduate,Yes,Urban,Y
4359,0.0,226,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
7269,0.0,106,360,1,Male,Yes,0,Graduate,No,Urban,Y
11309,0.0,278,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
4873,2615.0,155,240,0,Male,Yes,1,Graduate,No,Semiurban,N
4032,0.0,336,360,1,Female,Yes,0,Graduate,No,Urban,Y
5699,0.0,184,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
6138,3013.0,139,360,1,Female,No,1,Not Graduate,No,Semiurban,Y
9323,1946.0,205,240,1,Female,No,1,Graduate,Yes,Rural,Y
5625,0.0,318,360,1,Male,Yes,1,Not Graduate,No,Rural,Y
5042,0.0,169,360,1,Male,No,3+,Not Graduate,No,Semiurban,Y
3997,3166.0,166,180,1,Male,Yes,1,Graduate,No,Urban,Y
3161,0.0,161,360,1,Female,Yes,0,Not Graduate,No,Urban,Y
